 ICs: , delta0=0 , phi0=0.5236 , phid=0 , Nonlinear EOM
 success, balance_score, k1, k2, k3, r*Q=R,e1,e2,e3
0,1110.4,64.132,9.2762,-5.7413,2477.1,-5.7465+5.5947i,-5.7465-5.5947i,-5.8804
0,14.373,67.138,9.5254,-5.7518,2782.6,-5.9003+5.7604i,-5.9003-5.7604i,-5.8958
0,23.111,70.322,9.7828,-5.762,3125.7,-6.0597+5.9307i,-6.0597-5.9307i,-5.9102
0,1240.4,73.694,10.049,-5.772,3511.2,-6.2246+6.1056i,-6.2246-6.1056i,-5.9235
0,17.069,77.267,10.323,-5.7819,3944.2,-6.3954+6.2855i,-6.3954-6.2855i,-5.936
0,3696.8,81.051,10.606,-5.7916,4430.6,-6.572+6.4704i,-6.572-6.4704i,-5.9474
0,12.545,85.06,10.898,-5.801,4977,-6.7547+6.6606i,-6.7547-6.6606i,-5.958
0,26.39,89.306,11.2,-5.8102,5590.8,-6.9436+6.8563i,-6.9436-6.8563i,-5.9678
0,80.202,93.805,11.511,-5.8193,6280.3,-7.1387+7.0576i,-7.1387-7.0576i,-5.9767
0,80.202,98.572,11.832,-5.8281,7054.8,-7.3403+7.2649i,-7.3403-7.2649i,-5.9849
0,80.202,103.62,12.163,-5.8367,7924.8,-7.5485+7.4782i,-7.5485-7.4782i,-5.9924
0,80.202,108.97,12.505,-5.845,8902.2,-7.7635+7.6978i,-7.7635-7.6978i,-5.9992
0,80.202,114.64,12.857,-5.8532,10000,-7.9854+7.9238i,-7.9854-7.9238i,-6.0053
