 ICs: , delta0=0 , phi0=0.5236 , phid=0 , Nonlinear EOM,,,,
 success, balance_score, k1, k2, k3, r*Q=R,e1,e2,e3
1,4.042,65.391,19.315,-8.5292,3125.7,-32.35,-9.35,-3.1607
1,4.0444,68.767,20.376,-8.5548,3511.2,-34.402,-9.3182,-3.1609
1,4.0478,72.342,21.499,-8.5795,3944.2,-36.568,-9.2906,-3.161
1,4.0526,76.128,22.69,-8.6033,4430.6,-38.856,-9.2667,-3.1611
1,4.0553,80.139,23.952,-8.6261,4977,-41.273,-9.2459,-3.1613
1,4.0574,84.387,25.29,-8.6481,5590.8,-43.829,-9.2277,-3.1614
1,4.0598,88.887,26.707,-8.6693,6280.3,-46.532,-9.2118,-3.1615
1,4.0626,93.654,28.209,-8.6896,7054.8,-49.391,-9.1978,-3.1616
1,4.0664,98.704,29.801,-8.7091,7924.8,-52.417,-9.1855,-3.1616
1,4.0733,104.05,31.488,-8.7278,8902.2,-55.619,-9.1747,-3.1617
1,4.0846,109.72,33.276,-8.7457,10000,-59.01,-9.1651,-3.1618
